"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"11500","DBShop(#10)","接口测试—new(#382)","","添加超过6个收货地址失败","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json
4.已经添加6个收货地址","1. receiverName=“李四“
cellPhone=“12345678902“
addressDetail=“浙江工业大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “最多只能添加6个地址“
","","","3","接口测试","","正常","0","1","1","通过","陈若繁","2018-12-14","","0000-00-00","1","",""
"11499","DBShop(#10)","接口测试—new(#382)","","添加已存在的收货地址失败","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json
4.收货地址已经存在","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “收货地址已存在“
","1. 显示为“{code : 200，message : “success}“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11498","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，省市区都不匹配","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“南京大学“
province=安徽省“
city=“南京市“
area=“西湖区“
","1. code : 400
message : “请求参数不正确“
","1. 显示为“{code : 200，message : “success}“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11497","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，市和区都不匹配","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“南京大学“
province=“江苏省“
city=“杭州市“
area=“西湖区“
","1. code : 400
message : “请求参数不正确“
","1. 显示为“{code : 200，message : “success}“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11496","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，市不匹配","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“南京大学“
province=“浙江省“
city=“南京市“
area=“西湖区“
","1. code : 400
message : “请求参数不正确“
","1. 显示为“{code : 200，message : “success}“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11495","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，区不匹配","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“南京大学“
province=“江苏省“
city=“南京市“
area=“西湖区“
","1. code : 400
message : “请求参数不正确“
","1. 显示为“{code : 200，message : “success}“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11494","DBShop(#10)","接口测试—new(#382)","","添加收货地址成功，直辖市","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“复旦大学“
province=“上海市“
city=“上海市“
area=“黄埔区“
","1. code : 200
message : “success“
","1. 显示为“{code : 200，message : “success}“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11493","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，缺少area参数","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
","1. code : 400
message : “area参数不存在“
","1. {“message“:“may not be null“,“code“:400}
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11492","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，缺少city参数","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
area=“滨江区“
","1. code : 400
message : “city参数不存在“
","1. {“message“:“may not be null“,“code“:400}
","","3","接口测试","","正常","0","2","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11491","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，缺少province参数","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “province参数不存在“
","1. {“message“:“may not be null“,“code“:400}
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11490","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，缺少addressDetail参数","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “addressDetail参数不存在“
","1. {“message“:“may not be null“,“code“:400}
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11489","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，缺少cellPhone参数","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “cellPhone参数不存在“
","1. {“message“:“may not be null“,“code“:400}
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11488","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，缺少receiverName参数","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “receiverName参数不存在“
","1. {“message“:“may not be null“,“code“:400}
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11487","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，area参数类型不正确","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=571
","1. code : 400
message : “area参数类型不正确“
","1. code : 200
message : “success“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11486","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，city参数类型不正确","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=571
area=“滨江区“
","1. code : 400
message : “city参数类型不正确“
","1. code : 200
message : “success“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","陈若繁","2018-12-14","2","",""
"11485","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，province参数类型不正确","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=571
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “province参数类型不正确“
","1. code : 200
message : “success“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11484","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，addressDetail参数类型不正确","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=123
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “addressDetail参数类型不正确“
","1. code : 200
message : “success“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11483","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，cellPhone参数类型不正确","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=12345678901
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “cellPhone参数类型不正确“
","1. code : 200
message : “success“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11482","DBShop(#10)","接口测试—new(#382)","","添加收货地址失败，receiveName参数类型不正确","1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=123
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 400
message : “receiverName参数类型不正确“
","1. code : 200
message : “success“
","","3","接口测试","","正常","0","1","1","失败","陈若繁","2018-12-14","","0000-00-00","1","",""
"11481","DBShop(#10)","接口测试—new(#382)","","添加收货地址成功","“1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json“
1.已登录
2.请求地址为：POST/fgadmin/address/new
3.请求头为：Content_Type=application/json","1. receiverName=“张三“
cellPhone=“12345678901“
addressDetail=“浙江大学“
province=“浙江省“
city=“杭州市“
area=“滨江区“
","1. code : 200
message : “success“
","","","3","接口测试","","正常","0","1","1","通过","陈若繁","2018-12-14","","0000-00-00","1","",""
"11470","DBShop(#10)","接口测试—submit(#381)","","测试青果商城提交订单的要求","在青果商城登录的情况下","1. 设置skuIds为空，其他项必填
2. 设置skuNumbers为空，其他项必填
3. 设置stockIds为空，其他项必填
4. 设置receiverName为空，其他项必填
5. 设置cellPhone为空，其他项必填
6. 设置addressDetail为空，其他项必填
7. 设置province为空，其他项必填
8. 设置city为空，其他项必填
9. 设置voiceStatus为空，其他项必填
10. 设置needInvoice为空，其他项必填
11. 设置invoiceHead为空，其他项必填
12. 设置transportFee为空，其他项必填
13. 设置logisticsCompanyId为空，其他项必填
14. 设置accessSource为空，其他项必填
15. 设置accessDevice为空，其他项必填
","1. “message“:“请求失败“
2. message“:“请求失败“
3. message“:“请求失败
4. message“:“请求失败
5. message“:“请求失败
6. message“:“请求失败
7. message“:“请求失败
8. message“:“请求失败
9. message“:“请求失败
10. message“:“请求失败
11. message“:“请求失败
12. message“:“请求失败
13. message“:“请求失败
14. message“:“请求失败
15. message“:“请求失败
","","","3","接口测试","","正常","0","0","15","","宋晓倩","2018-12-14","","0000-00-00","1","",""
"11469","DBShop(#10)","接口测试—login(#379)","","验证青果商城登录要求","打开青果商城","1. 输入手机号“20000000000“,输入密码“netease123“，点击登录
2. 输入手机号“20000000000“,输入密码“netease1232“，点击登录
3. 输入手机号“20000000000“,输入密码“   “，点击登录
4. 输入手机号“  “,输入密码“netease123“，点击登录
5. 输入手机号“200000000001“,输入密码“netease123“，点击登录
","1. 登录成功
2. 提示“手机号码格式错误，用户名或者密码错误”
3. 提示“手机号码格式错误，用户名或者密码错误”
4. 提示“手机号码格式错误，用户名或者密码错误”
5. 提示“手机号码格式错误，用户名或者密码错误”
","","","3","接口测试","","正常","0","0","5","","孟雨轩","2018-12-14","","0000-00-00","1","",""
"11423","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法----验证添加标签组的标签组名称输入功能","","1. 输入“颜色”
2. 输入“color”
3. 输入“null”
4. 输入空格
5. 输入“123456”
6. 输入“α”
7. 输入“！”
8. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
","","","3","功能测试","","正常","0","1","8","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11422","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法----验证添加特定商品标签的标签名称输入功能","","1. 输入“热卖品”
2. 输入“hot sell”
3. 输入“null”
4. 输入空格
5. 输入“123456”
6. 输入“α”
7. 输入“！”
8. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
","","","3","功能测试","","正常","0","1","8","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11421","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法----验证添加普通商品标签的标签名称输入功能","","1. 输入“S码”
2. 输入“s”
3. 输入“XXL”
4. 输入“null”
5. 输入空格
6. 输入“123456”
7. 输入“α”
8. 输入“！”
9. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
","","","3","功能测试","","正常","0","1","9","通过","范丽梅","2018-12-12","范丽梅","2018-12-12","1","",""
"11420","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法----验证添加品牌的品牌名称输入功能","","1. 输入“戴尔”
2. 输入“DELL”
3. 输入“null”
4. 输入空格
5. 输入“123456”
6. 输入“α”
7. 输入“！”
8. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
","","","3","功能测试","","正常","0","1","8","通过","范丽梅","2018-12-12","范丽梅","2018-12-12","1","",""
"11419","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法---- 验证添加属性组的属性组名称输入功能","","1. 输入“尺寸”
2. 输入“size”
3. 输入“null”
4. 输入空格
5. 输入“123456”
6. 输入“α”
7. 输入“！”
8. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
","","","3","功能测试","","正常","0","1","8","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11418","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法---- 验证添加属性的属性名称输入功能","","1. 输入“均码”
2. 输入“size”
3. 输入“null”
4. 输入空格
5. 输入“123456”
6. 输入“α”
7. 输入“！”
8. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
","","","3","功能测试","","正常","0","1","8","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11417","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法---- 验证添加侧边显示的显示名称输入功能","","1. 输入“食品类”
2. 输入“food”
3. 输入“null”
4. 输入空格
5. 输入“123456”
6. 输入“α”
7. 输入“！”
8. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
","","","3","功能测试","","正常","0","1","8","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11416","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法----验证添加分类的分类名称输入功能","","1. 输入“食品类”
2. 输入“food”
3. 输入“null”
4. 输入空格
5. 输入“123456”
6. 输入“α”
7. 输入“！”
8. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
","","","3","功能测试","","正常","0","1","8","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11415","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法---- 验证搜索功能的商品名称输入功能","","1. 输入“牛奶”
2. 输入“--牛奶--”
3. 输入“milk”
4. 输入“null”
5. 输入空格
6. 输入“123456”
7. 输入“α”
8. 输入“！”
9. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
","","","3","功能测试","","正常","0","1","9","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11414","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法---- 验证添加商品的本店价格输入功能","","1. 输入“0”
2. 输入“88”
3. 输入“9999999999999999999999999999999”
4. 输入“哈哈”
5. 输入“null”
6. 输入空格
7. 输入“α”
8. 输入“！”
9. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
","","","3","功能测试","","正常","0","1","9","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11413","DBShop(#10)","商品管理探索性测试模块(#346)","","收藏家测试法----验证添加商品的商品名称输入功能","","1. 输入“牛奶”
2. 输入“milk”
3. 输入“null”
4. 输入空格
5. 输入“123456”
6. 输入“α”
7. 输入“！”
8. 输入“Ctrl”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
","","","3","功能测试","","正常","0","1","8","通过","范丽梅","2018-12-12","","0000-00-00","1","",""
"11373","DBShop(#10)","系统管理探索性测试模块(#351)","","质疑测试法——验证添加管理员必填项如果不填","在DBShop后台已经登录情况下","1. 添加管理员必填项不填，保存设置
","1. 不可以保存
","","","3","功能测试","","正常","0","1","1","通过","宋晓倩","2018-12-12","","0000-00-00","1","",""
"11372","DBShop(#10)","系统管理探索性测试模块(#351)","","使用质疑测试法测试不设置系统管理中附件设置商品图片的缩微图宽度，高度有无影响","登录状态下，点击系统管理，点击附件设置，点击商品图片","1. 不设置缩微图宽度，高度，其他信息均填写
","1. 
","","","3","功能测试","","正常","0","1","1","通过","孟雨轩","2018-12-12","","0000-00-00","1","",""
"11369","DBShop(#10)","系统管理探索性测试模块(#351)","","使用卖点测试法测试附件设置商品图片的设置","登录状态，点击系统管理，点击附件设置，点击商品图片","1. 填写缩微图宽度，缩微图高度，缩微图裁切方式选择，商品默认图片浏览添加

","1. 
","","","3","功能测试","","正常","0","1","1","通过","孟雨轩","2018-12-12","","0000-00-00","1","",""
"11368","DBShop(#10)","系统管理探索性测试模块(#351)","","超模测试法——验证管理员组权限设置页面布局是否合理","1.在DBShop后台已经登录情况下
2.已经存在一个新添加的管理员组","1. 编辑新添加的管理员组，选择权限设置，缺乏所有模块全选按钮
","1. 
","","","3","功能测试","","正常","0","1","1","通过","宋晓倩","2018-12-12","","0000-00-00","1","",""
"11365","DBShop(#10)","销售管理探索性测试模块(#345)","","利用遍历测试法验证退货管理中提交操作的搜索操作","1.登录后台管理系统
2.点击销售管理
3.点击退货管理","1. 输入订单号
2. 选择退款方式
3. 选择处理状态
4. 填写申请时间
5. 填写退货时间
6. 点击搜索
","1. 
2. 
3. 
4. 
5. 
6. 
","","","3","功能测试","
功能测试阶段","正常","0","1","6","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11364","DBShop(#10)","销售管理探索性测试模块(#345)","","利用极限测试法验证退货管理中连续单机的搜索操作","1.登录后台管理系统
2.点击销售管理
3.点击退货管理","1. 左键点击搜索按钮100次
2. 右键点击搜索按钮100次
","1. 
2. 
","1. 系统崩溃
2. 系统崩溃
","","2","功能测试","
功能测试阶段","正常","1","1","2","失败","张家旺","2018-12-12","","0000-00-00","1","",""
"11363","DBShop(#10)","销售管理探索性测试模块(#345)","","利用质疑测试法验证退货管理退货时间填写的搜索操作","1.登录后台管理系统
2.点击销售管理
3.点击退货管理","1. 始输入：2018-12-12
2. 终输入：2018-12-10
3. 点击操作
","1. 
2. 
3. 
","","","2","功能测试","
功能测试阶段","正常","0","1","3","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11362","DBShop(#10)","销售管理探索性测试模块(#345)","","利用质疑测试法验证退货管理申请时间填写的搜索操作","1.登录后台管理系统
2.点击销售管理
3.点击退货管理","1. 始输入：2018-12-12
2. 终输入：2018-12-10
3. 点击操作
","1. 
2. 
3. 
","","","2","功能测试","
功能测试阶段","正常","0","1","3","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11361","DBShop(#10)","销售管理探索性测试模块(#345)","","利用极限测试法验证退货管理中订单号为空的搜索操作","1.登录后台管理系统
2.点击销售管理
3.点击退货管理","1. 点击搜索操作
","1. 
","","","3","功能测试","
功能测试阶段","正常","0","1","1","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11360","DBShop(#10)","销售管理探索性测试模块(#345)","","利用卖点测试法验证支付记录是否显示","1.登录后台管理系统
2.点击销售管理
3.点击支付记录","1. 点击支付记录
","1. 
","","","3","功能测试","
功能测试阶段","正常","0","1","1","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11359","DBShop(#10)","销售管理探索性测试模块(#345)","","通过极限测试验证发货单多次刷新的按钮","1.登录后台管理系统
2.点击销售管理
3.点击发货单","1. 左击刷新按钮100次
2. 右击刷新按钮100次
","1. 
2. 
","","","3","功能测试","
功能测试阶段","正常","0","1","2","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11358","DBShop(#10)","销售管理探索性测试模块(#345)","","通过遍历测试的方法验证发货单中的基本按钮是否可用","1.登录后台管理系统
2.点击销售管理
3.点击发货单","1. 勾选所有可选导出
2. 输入开始时间
3. 输入结束书记
4. 选择配送方式
5. 选择发货状态
","1. 
2. 
3. 
4. 
5. 
","","","2","功能测试","
功能测试阶段","正常","0","1","5","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11357","DBShop(#10)","销售管理探索性测试模块(#345)","","利用质疑测试法验证发货单中开始时间、结束时间填写的基本功能","1.登录后台管理系统
2.点击销售管理
3.点击发货单","1. 开始时间：2018-12-12
2. 结束时间：2018-12-10
3. 点击导出Excel文件
","1. 
2. 
3. 
","1. 
2. 
3. 
","","2","功能测试","
功能测试阶段","正常","1","1","3","失败","张家旺","2018-12-12","","0000-00-00","1","",""
"11356","DBShop(#10)","销售管理探索性测试模块(#345)","","利用快速测试法验证发货单中可选导出的导出Excel的功能","1.登录后台管理系统
2.点击销售管理
3.点击发货单","1. 点击导出Excel文件
2. 点击发货单
3. 查看有没有对应信息
","1. 
2. 
3. 
","","","2","功能测试","
功能测试阶段","正常","0","1","3","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11355","DBShop(#10)","销售管理探索性测试模块(#345)","","利用质疑测试法验证发货单中可选导出的导出Excel的功能","1.登录后台管理系统
2.点击销售管理
3.点击发货单","1. 勾选全部可选导出
2. 勾选前三个
3. 全部不勾选
","1. 
2. 
3. 
","","","3","功能测试","
功能测试阶段","正常","0","1","3","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11354","DBShop(#10)","销售管理探索性测试模块(#345)","","利用卖点测试法验证发货单中导出Excel的功能","1.登录后台管理系统
2.点击销售管理
3.点击发货单","1. 点击导出Excel按钮
","1. 
","","","3","功能测试","
功能测试阶段","正常","0","1","1","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11353","DBShop(#10)","销售管理探索性测试模块(#345)","","利用卖点测试法验证订单管理中高级搜索的搜索操作","1.登录后台管理系统
2.点击销售管理
3.点击优惠规则","1. 点击高级搜索按钮
","1. 
","","","3","功能测试","
功能测试阶段","正常","0","1","1","通过","张家旺","2018-12-12","","0000-00-00","1","",""
"11352","DBShop(#10)","销售管理探索性测试模块(#345)","","利用地标测试法验证订单管理中提交操作的搜索操作","1.登录后台管理系统
2.点击销售管理
3.点击优惠规则","1. 勾选订单号按钮，点击点击搜索，点击提交
2. 点击搜索，勾选全选操作，点击提交
3. 点击搜索，勾选全选操作，再勾选订单号按钮点击提交
","1. 
2. 
3. 
","","","3","功能测试","
功能测试阶段","正常","0","1","3","通过","张家旺","2018-12-12","","0000-00-00","1","",""
